Show Id,views
80185375,155.55
81035749,261.375
81213153,103.275
81143771,75.225
80994807,62.475
80184135,132.6
80191036,1.275
80191045,94.35
80191047,72.675
80191049,62.475
80194950,132.6
80195049,119.85
80195838,79.05
80196138,63.75
80197989,1.275
80198137,1.275
80200015,84.15
80201570,107.1
80201866,1.275
80203522,138.975
80204730,1.275
80210182,141.525
80211621,1.275
80213658,91.8
80216237,1.275
80216665,1.275
80216752,2.55
80216844,109.65
80217889,3.825
80218104,82.875
80220013,136.425
80224536,94.35
80224606,119.85
80225421,114.75
80225949,1.275
80231419,127.5
80238080,114.75
80238357,1.275
80239639,135.15
80240027,1.275
80241986,1.275
80242619,124.95
80244311,135.15
80244846,1.275
80993062,1.275
80995799,127.5
80997965,1.275
80998968,124.95
80999781,124.95
81001278,80.325
81002281,1.275
81002880,77.775
81004814,1.275
81009829,109.65
81019341,116.025
81025800,1.275
81029611,2.55
81030342,81.6
81030755,89.25
81031008,118.575
81033086,119.85
81035279,124.95
81038575,1.275
81045511,58.65
81045513,36.975
81055402,110.925
81062293,109.65
81073633,99.45
81098589,82.875
81127333,131.325
81152930,116.025
81154900,1.275
81169914,1.275
81171862,112.2
81183624,5.1
81191195,96.9
81192594,1.275
81218079,117.3
80993105,133.875
81012427,1.275
80184405,1.275
80185722,59.925
80189653,100.725
80204252,1.275
80204400,1.275
80211465,1.275
80222071,1.275
80225907,114.75
80236359,1.275
80240816,1.275
80241102,1.275
80244567,12.75
80991316,112.2
81045530,161.925
81045989,35.7
81059779,2.55
81085319,119.85
81200716,3.825
81224128,2.55
81013990,137.7
81158575,121.125
80227119,121.125
81026192,1.275
80224233,155.55
80993739,1.275
80993774,3.825
80999983,131.325
81000015,119.85
81036061,1.275
80188969,1.275
81020668,1.275
81032873,1.275
81034612,137.7
81179844,1.275
81210770,121.125
80202810,130.05
80215322,1.275
80227798,2.55
80235578,109.65
80235767,31.875
80187302,1.275
80214013,1.275
80226424,130.05
81000511,130.05
81028895,1.275
81033650,1.275
81053240,80.325
81072109,1.275
81077044,1.275
81095101,1.275
81099997,1.275
81167083,1.275
81167119,1.275
80989867,2.55
81011059,3.825
81092768,159.375
80210932,183.6
81172723,136.425
81172754,136.425
81172830,109.65
81172848,117.3
81172903,140.25
81191666,126.225
80226962,119.85
80244679,35.7
80232095,127.5
80237428,1.275
80238711,1.275
81013509,93.075
81094801,124.95
81047510,128.775
81049260,132.6
81082781,1.275
80198794,1.275
80223731,170.85
80239860,2.55
81080942,141.525
81150338,100.725
80188120,145.35
80230507,38.25
80182950,2.55
81033895,5.1
81016338,128.775
81030893,141.525
81037970,158.1
80182479,172.125
80187684,132.6
80207879,5.1
80208413,178.5
80218784,95.625
80219180,1.275
80228322,128.775
80229102,1.275
80229216,1.275
80236167,77.775
80239738,135.15
80239988,105.825
80243408,201.45
80243541,191.25
80987611,132.6
80998560,150.45
80998566,112.2
80998568,140.25
81013200,146.625
81018240,140.25
81020508,202.725
81020576,1.275
81024701,161.925
81025088,146.625
81038047,122.4
81045765,108.375
81088331,1.275
81113927,114.75
81128584,224.4
81132060,1.275
81151899,1.275
81154455,159.375
81155880,1.275
81177371,160.65
81213876,126.225
81215481,149.175
81029831,126.225
80229829,87.975
81044496,103.275
81213149,132.6
80244472,127.5
80189522,1.275
80224476,122.4
80198508,98.175
80999643,133.875
80194671,133.875
80217779,1.275
80233441,1.275
81012340,141.525
81120982,103.275
80243728,1.275
81035837,118.575
81035846,124.95
81035849,126.225
81035851,124.95
81035856,142.8
81035865,110.925
81035878,145.35
81049707,1.275
81049811,1.275
80190515,126.225
81196441,94.35
80188596,153
80220692,1.275
81108280,1.275
81135440,1.275
81175361,1.275
81208888,1.275
80241666,147.9
81141694,130.05
81177504,135.15
80215076,1.275
80237905,130.05
81029400,116.025
81035117,30.6
81087095,133.875
80995575,116.025
80995577,93.075
80996455,1.275
81020531,147.9
81026007,75.225
81038976,122.4
81054827,1.275
80190841,122.4
80184682,1.275
80208104,65.025
80221498,94.35
80244190,147.9
81014647,7.65
81015524,109.65
81103517,1.275
80223098,119.85
81042948,2.55
1029730,119.85
1064058,127.5
22497725,104.55
60001407,230.775
60001808,108.375
60022041,76.5
60034116,154.275
70039241,70.125
70039783,132.6
70081015,99.45
70111489,147.9
70118860,70.125
70143241,126.225
70171947,2.55
70258566,1.275
70278990,172.125
70302480,91.8
70304718,3.825
80006168,56.1
80006232,56.1
80023794,98.175
80057506,2.55
80063867,1.275
80092835,76.5
80092839,76.5
80093829,1.275
80097532,1.275
80101903,36.975
80113894,1.275
80116008,76.5
80119349,108.375
80121845,1.275
80121871,1.275
80122188,1.275
80122190,1.275
80124711,3.825
80126212,1.275
80126684,3.825
80126996,136.425
80128096,1.275
80128277,109.65
80131281,82.875
80131374,82.875
80131375,80.325
80131376,81.6
80131435,80.325
80131436,87.975
80134781,93.075
80135278,1.275
80136450,1.275
80136452,1.275
80136453,1.275
80136454,1.275
80136455,1.275
80136456,2.55
80136784,2.55
80136787,1.275
80136788,1.275
80136789,1.275
80136790,2.55
80136792,1.275
80136793,1.275
80136794,1.275
80136796,2.55
80139214,80.325
80141259,1.275
80144442,1.275
80144691,62.475
80147811,1.275
80150290,2.55
80156137,1.275
80156992,1.275
80156995,1.275
80157177,1.275
80157207,1.275
80157275,1.275
80157276,1.275
80157297,1.275
80157392,1.275
80157457,1.275
80157488,1.275
80157528,1.275
80157566,1.275
80157864,1.275
80159028,82.875
80159899,1.275
80159925,2.55
80160127,30.6
80160391,1.275
80162131,1.275
80163279,1.275
80163293,1.275
80163294,1.275
80163296,1.275
80163409,1.275
80163430,1.275
80163530,1.275
80163532,1.275
80163533,1.275
80164979,28.05
80165918,1.275
80168068,1.275
80169350,1.275
80169755,99.45
80169801,47.175
80170186,2.55
80174282,1.275
80175277,1.275
80175405,87.975
80176449,1.275
80176840,1.275
80176872,2.55
80177684,1.275
80179433,85.425
80180449,1.275
80180544,1.275
80180545,1.275
80180588,1.275
80180591,1.275
80180600,1.275
80180619,1.275
80180651,1.275
80180681,1.275
80180684,1.275
80180710,1.275
80180711,1.275
80182016,179.775
80182480,73.95
80182481,73.95
80182482,77.775
80182483,79.05
80182596,82.875
80182597,82.875
80184154,1.275
80184208,1.275
80187722,1.275
80189586,1.275
80198288,1.275
80204739,1.275
80204885,1.275
80208468,116.025
80213712,124.95
80223108,1.275
80227121,102
80229286,1.275
80235853,28.05
80239796,11.475
80239797,8.925
80239864,1.275
80239865,1.275
80242036,1.275
80244228,2.55
80244246,1.275
80993087,1.275
80995039,1.275
80995044,1.275
80995073,1.275
80995077,86.7
80995078,84.15
80995079,85.425
80998562,133.875
80999063,31.875
80999067,35.7
81001379,109.65
81001381,89.25
81001382,84.15
81001383,91.8
81012402,1.275
81014239,1.275
81018241,66.3
81020513,1.275
81020518,1.275
81020543,14.025
81020544,28.05
81020577,1.275
81020612,1.275
81031037,29.325
81034632,99.45
81034633,100.725
81034634,93.075
81035120,30.6
81035121,58.65
81035750,156.825
81035852,124.95
81035866,140.25
81035867,128.775
81035868,108.375
81039045,1.275
81039073,1.275
81049315,1.275
81049348,1.275
81049381,1.275
81049413,1.275
81049445,1.275
81053892,114.75
81055408,1.275
81081051,1.275
81088332,1.275
81092776,79.05
81092777,80.325
81092778,79.05
81092779,80.325
81092780,82.875
81092781,82.875
81092782,86.7
81100120,1.275
81104339,1.275
81142594,1.275
81152641,1.275
81152642,1.275
81170692,123.675
81171871,196.35
81172864,113.475
81172904,136.425
81184681,1.275
81184705,131.325
81197050,85.425
81209203,110.925
973861,172.125
923574,113.475
916061,117.3
916043,151.725
915927,153
907090,100.725
896678,145.35
880640,196.35
873159,167.025
855084,160.65
848915,179.775
846071,149.175
81235729,109.65
81235603,1.275
81228864,130.05
81227195,136.425
81224868,2.55
81224839,1.275
81224811,1.275
81221914,150.45
81221913,160.65
81221873,112.2
81221851,168.3
81219073,1.275
81218074,151.725
81217749,94.35
81217747,174.675
81217746,153
81217745,161.925
81217743,141.525
81217742,169.575
81217741,170.85
81217739,167.025
81217738,170.85
81217737,182.325
81217438,133.875
81217437,197.625
81217436,173.4
81215856,56.1
81215567,2.55
81215439,86.7
81215438,103.275
81215437,87.975
81214223,86.7
81214214,51
81214187,87.975
81214114,123.675
81213979,175.95
81213898,205.275
81213897,218.025
81213896,132.6
81213895,153
81213894,172.125
81213893,168.3
81213891,198.9
81213889,145.35
81213888,163.2
81213887,196.35
81213885,207.825
81213884,167.025
81213882,122.4
81213879,154.275
81213877,137.7
81213874,144.075
81213873,165.75
81213155,1.275
81213152,82.875
81213148,124.95
81212801,30.6
81211714,17.85
81211681,103.275
81210234,2.55
81206389,131.325
81204911,2.55
81203251,1.275
81200229,1.275
81200228,1.275
81197399,1.275
81194544,170.85
81194523,1.275
81193616,1.275
81193313,1.275
81193245,1.275
81192130,2.55
81191500,1.275
81191473,1.275
81191254,75.225
81191228,93.075
81189912,151.725
81189396,121.125
81188871,138.975
81187847,99.45
81186758,186.15
81186757,186.15
81185502,1.275
81184735,1.275
81183572,110.925
81183570,110.925
81183491,1.275
81179882,1.275
81179864,1.275
81179821,1.275
81179693,140.25
81179400,73.95
81177444,140.25
81177367,138.975
81177238,169.575
81176200,193.8
81176196,1.275
81176188,12.75
81174992,1.275
81173792,71.4
81173255,112.2
81172911,144.075
81172909,128.775
81172908,132.6
81172905,126.225
81172902,126.225
81172901,118.575
81172899,140.25
81172897,179.775
81172895,154.275
81172868,118.575
81172866,104.55
81172841,150.45
81172758,146.625
81172757,127.5
81172756,136.425
81172747,126.225
81172740,137.7
81172729,110.925
81172728,124.95
81172727,135.15
81172726,131.325
81172721,232.05
81172568,1.275
81171121,53.55
81170694,113.475
81169158,121.125
81169145,1.275
81168348,123.675
81168347,122.4
81168346,118.575
81168345,112.2
81168344,107.1
81168343,104.55
81168342,84.15
81168341,116.025
81168340,114.75
81168338,118.575
81167494,103.275
81167492,95.625
81167490,137.7
81167137,1.275
81167101,1.275
81167065,1.275
81167047,1.275
81167029,1.275
81167011,1.275
81166978,1.275
81166946,1.275
81165786,151.725
81165772,154.275
81165771,142.8
81165770,138.975
81165769,127.5
81165326,156.825
81165325,119.85
81164752,114.75
81164636,131.325
81164603,123.675
81163776,1.275
81162089,76.5
81161834,108.375
81161538,1.275
81161487,1.275
81161230,136.425
81160763,1.275
81160036,163.2
81159258,1.275
81158574,140.25
81157840,109.65
81157385,219.3
81157169,1.275
81156627,112.2
81156592,84.15
81155859,169.575
81155858,172.125
81155803,147.9
81155802,150.45
81155784,118.575
81155782,205.275
81154987,142.8
81154982,110.925
81154956,1.275
81154549,1.275
81154166,1.275
81153751,1.275
81153373,98.175
81153372,122.4
81152923,121.125
81152643,1.275
81151880,124.95
81151878,124.95
81151877,124.95
81151313,109.65
